OKRES,OBEC,OKRSEK,PROP_MAE,OKRSEK_POC_HLASU,url_ps2021,url_ps2025
8106,554561,3001,0.37,826,https://www.volby.cz/appdata/ps2021/vysled/okrsek/8106/554561_3001.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/8106/554561_3001.json
5205,579025,23,0.38,526,https://www.volby.cz/appdata/ps2021/vysled/okrsek/5205/579025_23.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/5205/579025_23.json
7204,585441,1,0.44,406,https://www.volby.cz/appdata/ps2021/vysled/okrsek/7204/585441_1.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/7204/585441_1.json
7105,540773,2,0.46,792,https://www.volby.cz/appdata/ps2021/vysled/okrsek/7105/540773_2.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/7105/540773_2.json
5201,569810,14,0.47,560,https://www.volby.cz/appdata/ps2021/vysled/okrsek/5201/569810_14.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/5201/569810_14.json
6204,584975,3,0.49,642,https://www.volby.cz/appdata/ps2021/vysled/okrsek/6204/584975_3.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/6204/584975_3.json
5201,570885,1,0.54,317,https://www.volby.cz/appdata/ps2021/vysled/okrsek/5201/570885_1.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/5201/570885_1.json
3101,544256,55,0.57,479,https://www.volby.cz/appdata/ps2021/vysled/okrsek/3101/544256_55.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/3101/544256_55.json
3101,544256,84,0.57,606,https://www.volby.cz/appdata/ps2021/vysled/okrsek/3101/544256_84.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/3101/544256_84.json
3206,559717,4,0.57,731,https://www.volby.cz/appdata/ps2021/vysled/okrsek/3206/559717_4.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/3206/559717_4.json
6202,551287,14005,0.58,757,https://www.volby.cz/appdata/ps2021/vysled/okrsek/6202/551287_14005.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/6202/551287_14005.json
3204,557676,2,0.58,1022,https://www.volby.cz/appdata/ps2021/vysled/okrsek/3204/557676_2.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/3204/557676_2.json
5204,576786,1,0.59,476,https://www.volby.cz/appdata/ps2021/vysled/okrsek/5204/576786_1.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/5204/576786_1.json
3203,546208,4005,0.59,492,https://www.volby.cz/appdata/ps2021/vysled/okrsek/3203/546208_4005.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/3203/546208_4005.json
2101,532061,1,0.6,324,https://www.volby.cz/appdata/ps2021/vysled/okrsek/2101/532061_1.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/2101/532061_1.json
5302,557072,5009,0.61,394,https://www.volby.cz/appdata/ps2021/vysled/okrsek/5302/557072_5009.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/5302/557072_5009.json
2103,532053,29,0.61,608,https://www.volby.cz/appdata/ps2021/vysled/okrsek/2103/532053_29.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/2103/532053_29.json
5205,579025,12,0.62,557,https://www.volby.cz/appdata/ps2021/vysled/okrsek/5205/579025_12.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/5205/579025_12.json
6101,568759,4,0.62,780,https://www.volby.cz/appdata/ps2021/vysled/okrsek/6101/568759_4.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/6101/568759_4.json
5302,575640,3,0.63,606,https://www.volby.cz/appdata/ps2021/vysled/okrsek/5302/575640_3.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/5302/575640_3.json
